com,sim_content,sin_comment,word_count,duplicate_word_ratio,no_of_sentences,length_of_comment,num_of_punctuations,is_period_sequence,stop_word_ratio,post_coment_gap,black_word_count,is_link,is_youtube_link,is_number,is_mail,comment_duplication,classifier_val
UgxT0VDNLd7D5NOZJUV4AaABAg,0.28163086430540524,0.31262752475350136,25,0.040000000000000036,7,142,2,1,0.04,7591.45,1,0,0,0,0,0,0
UgzkFAigDtodod2BNcF4AaABAg,0.2039536482113864,0.25085619029514933,5,0.0,1,33,0,0,0.0,7558.566666666667,0,0,0,0,0,0,0
Ugwo1u8oWCVESP2hmX54AaABAg,0.39652147323075687,0.40412955601751555,34,0.0,2,210,2,0,0.029411764705882353,7517.966666666666,0,0,0,0,0,0,0
UgzQw_sc-YnPFACjiol4AaABAg,0.09750619302791834,0.14329979977056445,4,0.0,1,19,0,0,0.0,7512.283333333334,0,0,0,0,0,0,0
UgxPb_HZeqJsvSgb_w54AaABAg,0.49442054881199193,0.5315033028910254,39,0.10256410256410253,4,223,0,0,0.05128205128205128,7458.833333333333,1,0,0,0,0,0,0
UgxVjvgHSHtQoHbgMCZ4AaABAg,0.3141561488572934,0.3520276547867457,10,0.0,2,70,0,0,0.0,7419.283333333334,0,0,0,0,0,0.0,0
UgyNkw892UrsjTqxGYp4AaABAg,0.3392854979346672,0.3637584739091962,29,0.03448275862068961,1,166,0,0,0.034482758620689655,7414.283333333334,0,0,0,0,0,0.0,0
UgywpN2297sRc_nseYx4AaABAg,0.42360806893564196,0.45885148685618593,30,0.033333333333333326,5,169,1,0,0.1,7403.85,1,0,0,0,0,0,0
UgwPQwkb8AmfSg1pUHh4AaABAg,0.2233545468413608,0.28815908654441874,18,0.0,1,114,4,0,0.05555555555555555,7325.666666666667,0,0,0,0,0,0,0
Ugzov2ysgGugm7iWqDR4AaABAg,0.28117625312204014,0.2607255475799379,25,0.040000000000000036,3,159,0,1,0.0,7319.55,0,0,0,0,0,0,0
UgwkYwAFaYx2oZfUHdd4AaABAg,0.5044241048484753,0.5166007320987399,42,0.023809523809523836,6,227,0,1,0.07142857142857142,7312.083333333333,3,0,0,0,0,0,0
UgxzVReL36jLSvtLXDB4AaABAg,0.22642719008135526,0.19777445178640077,16,0.0,1,96,2,0,0.125,7262.016666666666,1,0,0,0,0,0,0
UgyQlGVISB5Zf8KY4sd4AaABAg,0.47022328308357003,0.4635600906648369,51,0.039215686274509776,4,288,3,1,0.0196078431372549,7207.966666666666,2,0,0,0,0,0,0
UgzjNrt3SCXEi-w8BwN4AaABAg,0.31373338420184943,0.30772118901019563,19,0.0,6,110,0,1,0.10526315789473684,7175.566666666667,1,0,0,0,0,0,0
UgxhxymD-6fclVFeu494AaABAg,0.44992635042610035,0.44373036466484245,38,0.07894736842105265,6,210,0,1,0.02631578947368421,7117.533333333334,1,0,0,0,0,0,0
UgweN498WaPy6cBvvWp4AaABAg,0.4405631728315005,0.45817385684931955,51,0.21568627450980393,5,280,1,1,0.09803921568627451,7036.816666666667,6,0,0,0,0,0,0
Ugwf8OKcUHRA5X_1C0Z4AaABAg,0.4580432119435752,0.5363661016766437,52,0.11538461538461542,4,313,2,1,0.1346153846153846,6934.35,3,0,0,0,0,0,0
Ugx8rG6VlJh8gmu-b3l4AaABAg,0.1848789333226939,0.258491338611089,7,0.0,1,39,0,0,0.0,6912.933333333333,0,0,0,0,0,0,0
UgwuxMdYse0MBSjhM914AaABAg,0.15684236856644657,0.20002100316031152,9,0.11111111111111116,1,38,0,0,0.2222222222222222,6877.366666666667,0,0,0,0,0,0,0
