cid,sim_content,sim_comment,word_count,duplicate_word_ratio,no_of_sentences,length_of_comment,num_of_punctuations,is_period_sequence,post_coment_gap,black_word_count,is_link,is_youtube_link,is_number,comment_duplication,is_spam
UgwDBF6o1sv_Z3YmZtt4AaABAg,0.17202823942909287,0.24761389295841027,4,0.0,1,27,0,0,39374.0,0.25,0,0,0,0,0
Ugy5utf2tK-KQ1EAH6F4AaABAg,0.13215527520365714,0.20059817591490817,5,0.0,1,31,0,0,35749.0,0.2,0,0,0,0,0
UgyNVFmWlPR5WD4I-Rt4AaABAg,0.1452147822181129,0.23562591729053103,22,0.045454545454545414,1,112,2,0,35057.0,0.0,0,0,0,0,0
UgzhszqsR_bAhriN9zx4AaABAg,0.19605687369934932,0.38971587518586,16,0.125,1,69,0,0,32492.0,0.1875,0,0,0,0,0
Ugy5JaAcdTaIVJgZblV4AaABAg,0.29022543839703924,0.39101193398217754,18,0.11111111111111116,2,98,2,0,31460.0,0.0,0,0,0,0,0
UgxdRtRU6Kvm_6PmfeZ4AaABAg,0.3167868834882363,0.3128118014687854,19,0.0,1,111,0,0,30782.0,0.0,0,0,0,0,0
UgzOd9g9GyrIupTdPgt4AaABAg,0.18442348953327367,0.40591106206606314,6,0.0,1,23,0,1,26932.0,0.0,0,0,0,0,0
UgztbvvqYw67Ltm4S_R4AaABAg,0.08206997151250066,0.12577416521158466,4,0.0,1,22,0,0,26362.0,0.25,0,0,0,0,0
UgzcFAiVLYYUeQp8idx4AaABAg,0.20622837142539518,0.19797392059258329,5,0.0,1,24,0,0,26309.0,0.2,0,0,0,0,0
Ugzg1mzpe66p_yri7DV4AaABAg,0.2836077630357128,0.23164394536155883,7,0.1428571428571429,1,41,0,0,25319.0,0.0,0,0,0,0,0
Ugy4fz70v40WPLXgUTp4AaABAg,0.25944574470024206,0.2547999489071097,10,0.0,1,53,0,0,24307.0,0.0,0,0,0,0,0
Ugx_Ajv6f2ZB4k7No894AaABAg,0.17059476135192445,0.2274295155570042,9,0.0,1,40,0,0,23668.0,0.1111111111111111,0,0,0,0,0
Ugz6iOe3XvfGJ3X8-1Z4AaABAg,0.1986365412878266,0.2588355460356938,8,0.0,1,41,0,0,23021.0,0.25,0,0,0,0,0
UgzYTK6qP9OW-UzAQvh4AaABAg,0.3594646051579312,0.37261943860186947,23,0.13043478260869568,1,109,0,0,22844.0,0.17391304347826086,0,0,0,0,0
Ugz6-BhxRqbqfddUE6p4AaABAg,0.2370559835418242,0.2605831426358329,6,0.0,1,35,0,0,22724.0,0.0,0,0,0,0,0
UgyaxLM2qEO6XAdWjW54AaABAg,0.20523355397419582,0.25152613828712844,10,0.0,1,54,0,0,22209.0,0.0,0,0,0,0,0
